GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,JobSkillImportanceOtherSelect1,JobSkillImportanceOtherSelect2,JobSkillImportanceOtherSelect3,CoursePlatformSelect,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,EmployerSize,EmployerSizeChange,EmployerMLTime,EmployerSearchMethod,UniversityImportance,JobFunctionSelect,WorkHardwareSelect,WorkDataTypeSelect,WorkProductionFrequency,WorkDatasetSize,WorkAlgorithmsSelect,WorkToolsSelect,WorkToolsFrequencyAmazonML,WorkToolsFrequencyAWS,WorkToolsFrequencyAngoss,WorkToolsFrequencyC,WorkToolsFrequencyCloudera,WorkToolsFrequencyDataRobot,WorkToolsFrequencyFlume,WorkToolsFrequencyGCP,WorkToolsFrequencyHadoop,WorkToolsFrequencyIBMCognos,WorkToolsFrequencyIBMSPSSModeler,WorkToolsFrequencyIBMSPSSStatistics,WorkToolsFrequencyIBMWatson,WorkToolsFrequencyImpala,WorkToolsFrequencyJava,WorkToolsFrequencyJulia,WorkToolsFrequencyJupyter,WorkToolsFrequencyKNIMECommercial,WorkToolsFrequencyKNIMEFree,WorkToolsFrequencyMathematica,WorkToolsFrequencyMATLAB,WorkToolsFrequencyAzure,WorkToolsFrequencyExcel,WorkToolsFrequencyMicrosoftRServer,WorkToolsFrequencyMicrosoftSQL,WorkToolsFrequencyMinitab,WorkToolsFrequencyNoSQL,WorkToolsFrequencyOracle,WorkToolsFrequencyOrange,WorkToolsFrequencyPerl,WorkToolsFrequencyPython,WorkToolsFrequencyQlik,WorkToolsFrequencyR,WorkToolsFrequencyRapidMinerCommercial,WorkToolsFrequencyRapidMinerFree,WorkToolsFrequencySalfrod,WorkToolsFrequencySAPBusinessObjects,WorkToolsFrequencySASBase,WorkToolsFrequencySASEnterprise,WorkToolsFrequencySASJMP,WorkToolsFrequencySpark,WorkToolsFrequencySQL,WorkToolsFrequencyStan,WorkToolsFrequencyStatistica,WorkToolsFrequencyTableau,WorkToolsFrequencyTensorFlow,WorkToolsFrequencyTIBCO,WorkToolsFrequencyUnix,WorkToolsFrequencySelect1,WorkToolsFrequencySelect2,WorkFrequencySelect3,WorkMethodsSelect,WorkMethodsFrequencyA/B,WorkMethodsFrequencyAssociationRules,WorkMethodsFrequencyBayesian,WorkMethodsFrequencyCNNs,WorkMethodsFrequencyCollaborativeFiltering,WorkMethodsFrequencyCross-Validation,WorkMethodsFrequencyDataVisualization,WorkMethodsFrequencyDecisionTrees,WorkMethodsFrequencyEnsembleMethods,WorkMethodsFrequencyEvolutionaryApproaches,WorkMethodsFrequencyGANs,WorkMethodsFrequencyGBM,WorkMethodsFrequencyHMMs,WorkMethodsFrequencyKNN,WorkMethodsFrequencyLiftAnalysis,WorkMethodsFrequencyLogisticRegression,WorkMethodsFrequencyMLN,WorkMethodsFrequencyNaiveBayes,WorkMethodsFrequencyNLP,WorkMethodsFrequencyNeuralNetworks,WorkMethodsFrequencyPCA,WorkMethodsFrequencyPrescriptiveModeling,WorkMethodsFrequencyRandomForests,WorkMethodsFrequencyRecommenderSystems,WorkMethodsFrequencyRNNs,WorkMethodsFrequencySegmentation,WorkMethodsFrequencySimulation,WorkMethodsFrequencySVMs,WorkMethodsFrequencyTextAnalysis,WorkMethodsFrequencyTimeSeriesAnalysis,WorkMethodsFrequencySelect1,WorkMethodsFrequencySelect2,WorkMethodsFrequencySelect3,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,AlgorithmUnderstandingLevel,WorkChallengesSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkDataVisualizations,WorkInternalVsExternalTools,WorkMLTeamSeatSelect,WorkDatasets,WorkDatasetsChallenge,WorkDataStorage,WorkDataSharing,WorkDataSourcing,WorkCodeSharing,RemoteWork,CompensationAmount,CompensationCurrency,SalaryChange,JobSatisfaction,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
Male,Ireland,42,Employed full-time,,,Yes,,DBA/Database Engineer,Perfectly,Employed by a company that performs advanced analytics,Spark / MLlib,Deep learning,SQL,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Company internal community,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,Somewhat useful,,,Very useful,,,,Very useful,,,Somewhat useful,,,,Somewhat useful,"KDnuggets Blog,O'Reilly Data Newsletter,R Bloggers Blog Aggregator",,,,,,,,,,,,,,,,,,,No,Master's degree,Engineering (non-computer focused),More than 10 years,DBA/Database Engineer,Self-taught,NA,30,0,70,0,0,,Logistic Regression,A master's degree,Retail,"10,000 or more employees",Increased significantly,More than 10 years,I visited the company's Web site and found a job listing there,Very important,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Basic laptop (Macbook),Relational data,,,,"Amazon Web services,Hadoop/Hive/Pig,IBM SPSS Statistics,Python,R,Spark / MLlib,SQL,Tableau",,Most of the time,,,,,,,Often,,,Rarely,,,,,,,,,,,,,,,,,,,Sometimes,,Rarely,,,,,,,,Most of the time,Most of the time,,,Often,,,,,,,Time Series Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sometimes,,,,50,0,10,10,0,30,Enough to tune the parameters properly,"Dirty data,The lack of a clear question to be answering or a clear direction to go in with the available data",,,,,Most of the time,,,,,,,,,,,,,,,Sometimes,,,100% of projects,Entirely internal,Other,Geographical Data,knowing about the huge ecosystem,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Company Developed Platform,Email",,"Generic non-cloud file sharing software (Email/Shared Server/etc.),Git",Sometimes,100000,EUR,Has decreased 20% or more,7,,,,,,,,,,,,,,,,,,
Male,United States,41,Employed full-time,,,Yes,,Other,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Other,Deep learning,Python,,Other,,,,,,,,,,,,,,,,,,,Other (Separate different answers with semicolon),,,,,,,,,,,,,,,,,,,Yes,Master's degree,Psychology,More than 10 years,"Data Miner,Data Scientist,Predictive Modeler,Researcher",University courses,40,10,10,40,0,0,"Computer Vision,Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",A master's degree,Internet-based,100 to 499 employees,Increased slightly,3-5 years,An external recruiter or headhunter,Important,Other,"Laptop + Cloud service (AWS, Azure, GCE ...)","Text data,Relational data",Most of the time,10GB,"Ensemble Methods,Random Forests,Regression/Logistic Regression","Amazon Web services,Google Cloud Compute,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Other",,Sometimes,,,,,,Rarely,,,,,,,,,Often,,,,,,,,,,,,,,Often,,Often,,,,,,,,Sometimes,Often,,,,,,,Most of the time,,,"Data Visualization,Decision Trees,Logistic Regression,Prescriptive Modeling,Random Forests,Recommender Systems,Segmentation,Text Analytics",,,,,,,Rarely,Often,,,,,,,,Often,,,,,,Often,Often,Often,,Rarely,,,Rarely,,,,,0,30,10,0,10,50,Enough to refine and innovate on the algorithm,"Dirty data,Explaining data science to others,Lack of data science talent in the organization,Maintaining responsible expectations about the potential impact of data science projects,Need to coordinate with IT,Team using multiple ad-hoc development environments such as Python/R/Java/etc.,Unavailability of/difficult access to data",,,,,Rarely,Often,,,Often,,,,,Sometimes,Rarely,,,,Often,,Rarely,,Less than 10% of projects,More internal than external,Standalone Team,"Social, Census, Federal, State, County",Paying customers,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server),Other","Company Developed Platform,Email,Share Drive/SharePoint",,Git,Sometimes,200000,USD,Has stayed about the same (has not increased or decreased more than 5%),9,,,,,,,,,,,,,,,,,,
Male,United States,24,"Not employed, but looking for work",,,,,,,,TensorFlow,Time Series Analysis,Python,I collect my own data (e.g. web-scraping),"Arxiv,Kaggle,Online courses,Stack Overflow Q&A,Textbook,Trade book",Very useful,,,,,,Very useful,,,,Very useful,,,Somewhat useful,Somewhat useful,Somewhat useful,,,"Becoming a Data Scientist Podcast,FastML Blog",< 1 year,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,,,"Coursera,edX,Udacity","Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Experience from work in a company related to ML,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,Computer Scientist,Self-taught,65,25,0,0,10,0,"Computer Vision,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Neural Networks - CNNs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,6-10,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important
Female,United States,43,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,IBM Cognos,,SQL,,Tutoring/mentoring,,,,,,,,,,,,,,,,,Very useful,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,A social science,6 to 10 years,Data Analyst,Self-taught,20,30,50,0,0,0,Outlier detection (e.g. Fraud detection),,A bachelor's degree,Insurance,100 to 499 employees,Increased significantly,6-10 years,I was contacted directly by someone at the company (e.g. internal recruiter),Not very important,Other,Laptop or Workstation and local IT supported servers,Relational data,,,Other,"Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,Oracle Data Mining/ Oracle R Enterprise,SQL",,,,,,,,,,,,,,,,,,,,,,,Most of the time,,Most of the time,,,Sometimes,,,,,,,,,,,,,,Most of the time,,,,,,,,,,Cross-Validation,,,,,,Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,100,0,Enough to explain the algorithm to someone non-technical,Company politics / Lack of management/financial support for a data science team,Sometimes,,,,,,,,,,,,,,,,,,,,,,Less than 10% of projects,Entirely internal,Standalone Team,,,,,,,Always,80000,USD,Has decreased between 6% and 19%,8,,,,,,,,,,,,,,,,,,
Female,United States,57,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Analyst,Fine,Employed by non-profit or NGO,Python,Time Series Analysis,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","College/University,Kaggle,Online courses,Stack Overflow Q&A,Textbook",,,Very useful,,,,Very useful,,,,Very useful,,,Very useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,Yes,Bachelor's degree,Other,More than 10 years,"Programmer,Other","Online courses (coursera, udemy, edx, etc.)",0,70,30,0,0,0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs",A bachelor's degree,Non-profit,,,,,Somewhat important,Analyze and understand data to influence product or business decisions,"Laptop or Workstation and local IT supported servers,Traditional Workstation",Relational data,Most of the time,10MB,"Decision Trees,Neural Networks,Random Forests","KNIME (free version),Microsoft Excel Data Mining,R,SQL,Tableau",,,,,,,,,,,,,,,,,,,Often,,,,Sometimes,,,,,,,,,,Sometimes,,,,,,,,,Sometimes,,,Most of the time,,,,,,,"Bayesian Techniques,Cross-Validation,Ensemble Methods,kNN and Other Clustering,Lift Analysis,Logistic Regression,Naive Bayes,Neural Networks,Text Analytics",,,Sometimes,,,Often,,,Often,,,,,Sometimes,Often,Often,,Often,,Most of the time,,,,,,,,,Often,,,,,25,25,5,25,20,0,Enough to tune the parameters properly,"Explaining data science to others,Inability to integrate findings into organization's decision-making process,Organization is small and cannot afford a data science team,The lack of a clear question to be answering or a clear direction to go in with the available data",,,,,,Most of the time,,Sometimes,,,,,,,,Most of the time,,,,Sometimes,,,100% of projects,Entirely internal,Other,"Ncoa, american community survey, tax returns summarized by IRS",Getting all elements to a common and useful level of detail.,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),Share Drive/SharePoint,,,Sometimes,,,,5,,,,,,,,,,,,,,,,,,
Male,People 's Republic of China,22,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,TensorFlow,Deep learning,Python,GitHub,"Arxiv,Kaggle,Textbook",Very useful,,,,,,Very useful,,,,,,,,Very useful,,,,O'Reilly Data Newsletter,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,3 to 5 years,"Engineer,Researcher",University courses,30,40,20,5,5,0,"Natural Language Processing,Recommendation Engines","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",High school,Internet-based,100 to 499 employees,Stayed the same,3-5 years,A general-purpose job board,Very important,Build and/or run a machine learning service that operationally improves your product or workflows,"Laptop + Cloud service (AWS, Azure, GCE ...),Workstation + Cloud service",Text data,Most of the time,1GB,"Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs","Amazon Web services,Python,Spark / MLlib,TensorFlow",,Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,Sometimes,,,,,Sometimes,,,,,,"A/B Testing,Bayesian Techniques,CNNs,Collaborative Filtering,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,Logistic Regression,Naive Bayes,Natural Language Processing,Neural Networks,Random Forests,Recommender Systems,RNNs,Segmentation,SVMs,Text Analytics",Rarely,,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,,,,,,,Often,,Often,Most of the time,Sometimes,,,Sometimes,Often,Sometimes,Often,,Often,Often,,,,,30,40,10,10,10,0,Enough to code it from scratch and it will run blazingly fast and be super efficient,"Company politics / Lack of management/financial support for a data science team,Difficulties in deployment/scoring,Dirty data,Organization is small and cannot afford a data science team",Most of the time,,,Often,Often,,,,,,,,,,,Often,,,,,,,76-99% of projects,More internal than external,IT Department,wikepedia,lack of data,"Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Key-value store (e.g. Redis/Riak)",Company Developed Platform,,Git,Sometimes,,CNY,I do not want to share information about my salary/compensation,7,,,,,,,,,,,,,,,,,,
Male,New Zealand,28,"Independent contractor, freelancer, or self-employed",,,Yes,,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Other,Genetic & Evolutionary Algorithms,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","Arxiv,Blogs,Company internal community,Friends network,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,Very useful,,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,,Very useful,Very useful,,,Very useful,"Jack's Import AI Newsletter,Siraj Raval YouTube Channel,Other (Separate different answers with semicolon)",,,,,,,,,,,,,,,,,,,No,Bachelor's degree,A health science,1 to 2 years,"Machine Learning Engineer,Other",Self-taught,70,20,10,0,0,0,Computer Vision,"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A bachelor's degree,Technology,,,,,Not at all important,Build and/or run a machine learning service that operationally improves your product or workflows,"GPU accelerated Workstation,Workstation + Cloud service","Image data,Video data",Always,100GB,CNNs,"Amazon Web services,C/C++,Python,TensorFlow,Unix shell / awk",,Most of the time,,Most of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,Most of the time,,Most of the time,,,,"CNNs,Cross-Validation,Data Visualization,Ensemble Methods,PCA and Dimensionality Reduction,Segmentation",,,,Most of the time,,Often,Often,,Sometimes,,,,,,,,,,,,Sometimes,,,,,Often,,,,,,,,40,20,20,5,15,0,"Enough to code it again from scratch, albeit it may run slowly",Other,,,,,,,,,,,,,,,,,,,,,,Most of the time,26-50% of projects,More internal than external,Standalone Team,None,Labelling; getting_enough_data;,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",Other,External HDD,"Bitbucket,Git",Sometimes,80000,NZD,I do not want to share information about my salary/compensation,7,,,,,,,,,,,,,,,,,,
Male,South Korea,26,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Deep learning,Matlab,"Google Search,University/Non-profit research group websites","College/University,Conferences,Online courses",,,Somewhat useful,,Very useful,,,,,,Very useful,,,,,,,,,1-2 years,Unnecessary,Unnecessary,Necessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,,,,Other,Basic laptop (Macbook),0 - 1 hour,Github Portfolio,No,Master's degree,Computer Science,More than 10 years,Computer Scientist,University courses,30,30,0,40,0,0,Computer Vision,"Decision Trees - Random Forests,Ensemble Methods",High school,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,0,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Somewhat important,Very Important
Male,Russia,38,Employed full-time,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,United States,45,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by company that makes advanced analytic software,Other,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,Government website","Blogs,Kaggle,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,Other",,Somewhat useful,,,,,Somewhat useful,,,,,Very useful,,Somewhat useful,,,Very useful,,"FlowingData Blog,R Bloggers Blog Aggregator,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",,,,,,,,,,,,,,,,,,,,Master's degree,Mathematics or statistics,More than 10 years,Data Scientist,University courses,10,5,34,50,1,0,"Adversarial Learning,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Other (please specify; separate by semi-colon)",A professional degree,Other,20 to 99 employees,Increased significantly,3-5 years,I visited the company's Web site and found a job listing there,Important,Other,"Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...),Laptop or Workstation and local IT supported servers","Text data,Relational data",Sometimes,100MB,"Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression","NoSQL,Python,R,Spark / MLlib,SQL,Unix shell / awk,Other",,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,,,,Often,,Often,,,,,,,,Rarely,Sometimes,,,,,,Often,Most of the time,,,"A/B Testing,Association Rules,Bayesian Techniques,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,kNN and Other Clustering,Lift Analysis,Logistic Regression,Naive Bayes,Natural Language Processing,PCA and Dimensionality Reduction,Random Forests,Recommender Systems,Segmentation,Simulation,Text Analytics,Time Series Analysis",Sometimes,Rarely,Rarely,,,Often,Often,Often,Often,,,,,Often,Often,Often,,Sometimes,Sometimes,,Often,,Often,Sometimes,,Often,Sometimes,,Sometimes,Sometimes,,,,60,15,5,10,10,0,"Enough to code it again from scratch, albeit it may run slowly","Dirty data,Privacy issues,Unavailability of/difficult access to data",,,,,Often,,,,,,,,,,,,Sometimes,,,,Often,,100% of projects,Do not know,Standalone Team,Too many to list,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",Company Developed Platform,,Git,Always,130000,AMD,Has increased between 6% and 19%,7,,,,,,,,,,,,,,,,,,
Male,Other,30,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Analyst,Fine,Self-employed,Amazon Web services,Deep learning,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,Government website,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,,,,,,,,,,,,,R Bloggers Blog Aggregator,,,,,,,,,,,,,,,,,,,Yes,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,"Data Analyst,Researcher,Other",Self-taught,95,5,0,0,0,0,"Supervised Machine Learning (Tabular Data),Time Series","Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression,Markov Logic Networks",A master's degree,Mix of fields,,,,,Not at all important,Analyze and understand data to influence product or business decisions,Basic laptop (Macbook),"Text data,Relational data",,10MB,"Bayesian Techniques,Random Forests,Regression/Logistic Regression","Amazon Web services,R,SQL,Tableau",,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,Rarely,,,Rarely,,,,,,,"Bayesian Techniques,Data Visualization,Logistic Regression,Random Forests,Segmentation,Simulation,Time Series Analysis",,,Most of the time,,,,Most of the time,,,,,,,,,Sometimes,,,,,,,Sometimes,,,Often,Sometimes,,,Often,,,,60,10,10,10,10,0,Enough to explain the algorithm to someone non-technical,"Data Science results not used by business decision makers,Did not instrument data useful for scientific analysis and decision-making,Dirty data,Inability to integrate findings into organization's decision-making process,Lack of funds to buy useful datasets from external sources,Organization is small and cannot afford a data science team,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",,,,,,,,,,,,,,,,,,,,,,,100% of projects,More external than internal,Standalone Team,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",I don't typically share data,,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.),Git",Most of the time,,,,,,,,,,,,,,,,,,,,,,
Male,United States,20,Employed full-time,,,Yes,,Data Miner,Fine,Employed by college or university,,,,,"College/University,Podcasts,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,,,,,,,Somewhat useful,Very useful,,,,Somewhat useful,Becoming a Data Scientist Podcast,,,,,,,,,,,,,,,,,,,Yes,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,"Data Analyst,Engineer,Machine Learning Engineer,Programmer",Self-taught,65,5,10,20,0,0,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Speech Recognition,Survival Analysis","Decision Trees - Random Forests,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs","Some college/university study, no bachelor's degree",Academic,"1,000 to 4,999 employees",Stayed the same,,"A friend, family member, or former colleague told me",Not very important,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","GPU accelerated Workstation,Laptop or Workstation and local IT supported servers","Video data,Text data",Always,100GB,"CNNs,GANs,Neural Networks","C/C++,Java,Perl,RapidMiner (free version),SQL,Unix shell / awk",,,,Most of the time,,,,,,,,,,,Sometimes,,,,,,,,,,,,,,,Rarely,,,,,Most of the time,,,,,,,Most of the time,,,,,,Often,,,,"CNNs,GANs,Neural Networks,RNNs,Simulation",,,,Most of the time,,,,,,,Often,,,,,,,,,Most of the time,,,,,Sometimes,,Most of the time,,,,,,,75,15,0,5,5,0,Enough to explain the algorithm to someone non-technical,"Company politics / Lack of management/financial support for a data science team,Dirty data,Scaling data science solution up to full database",Sometimes,,,,Most of the time,,,,,,,,,,,,,Often,,,,,10-25% of projects,More internal than external,IT Department,,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),"Email,Share Drive/SharePoint",,"Bitbucket,Git",Rarely,,,,6,,,,,,,,,,,,,,,,,,
