"Response ID","Date submitted","Last page","Start language","How important is User Experience for your?  Good user experience means functional requirements are covered completely, the program is easy to use, and it is a pleasure the work with it.","How important is Replicability for you?  Anyone can read the source code, understand how a function computes, and use it for their own projects.","How important is Transparency for you?  The project permits use, study, and modification of the source code without restriction, and as a normal user you are regularly informed about all aspects.","How important is it to have a Trusted Producer?  Trust in the producer (or rather publisher) means you know the organization and people for years and can rely on the product in the future.","How important is the availability of Technical Support for you?  Technical support in terms of the availability of wikis and forums, as well as the possibility to contact experts and even developers.","How important is Stability for you?  Stability means the program functions properly and does not hang or crash on unexpected conditions.","How important is Security for you?  Security is the protection from information theft or damage as well as from disruption or misdirection of services.","How important is the Cost factor for you?  Open Source software is usually free of charge but might have follow-up costs for training and administration, for instance.","How important is Compatibility for you? This terms means to load data processed with old software versions (backward compatibility) as well as the compatibility across different programs and platforms.","How important is Customizability/Modifiability for you?  The term means you can adapt the program to your personal needs and preferences regarding the visual appearance as well as the workflow.","What other office suites do you use on a regular basis? [Apache OpenOffice]","What other office suites do you use on a regular basis? [Apple iWork]","What other office suites do you use on a regular basis? [Calligra Suite]","What other office suites do you use on a regular basis? [Corel WordPerfect Office]","What other office suites do you use on a regular basis? [Google Docs]","What other office suites do you use on a regular basis? [Kingsoft WPS Office]","What other office suites do you use on a regular basis? [Microsoft Office]","What other office suites do you use on a regular basis? [NeoOffice]","What other office suites do you use on a regular basis? [OnlyOffice]","What other office suites do you use on a regular basis? [SoftMaker Office]","What other office suites do you use on a regular basis? [Other]","How often do you use an online office suite?","For how many years are you a user of LibreOffice and its predecessor?","Would a colleague or friend ask you how to solve a problem with LibreOffice?","What version of LibreOffice do you currently run in production (ie. not just for testing)?","What's your affiliation with the project? [Normal user]","What's your affiliation with the project? [Administration]","What's your affiliation with the project? [Development/Design]","What's your affiliation with the project? [Help authoring/User support at ask.libreoffice.org]","What's your affiliation with the project? [Marketing]","What's your affiliation with the project? [Localization]","What's your affiliation with the project? [QA: reporting, testing, confirming bugs]","What's your affiliation with the project? [Training]","Are you member of The Document Foundation?","What is your operating system?","What is your operating system? [Other]"
"193","1980-01-01 00:00:00","1","en","Very important","Slightly important","Very important","Moderately important","Slightly important","Very important","Very important","Moderately important","Moderately important","Extremely important","No","No","No","No","No","No","No","No","No","No","","never","6","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"194","1980-01-01 00:00:00","1","en","Slightly important","Moderately important","Moderately important","Very important","Slightly important","Extremely important","Moderately important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","No","No","No","No","none","never","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"195","1980-01-01 00:00:00","1","zh-Hant-TW","Very important","Not at all important","Slightly important","Very important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","No","Yes","No","No","","never","1","Yes","I'm always on 'stable'","No","Yes","No","No","No","No","No","No","No","macOS",""
"196","1980-01-01 00:00:00","1","fr","Extremely important","Very important","Very important","Very important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","No","Yes","Yes","No","No","No","","never","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"197","1980-01-01 00:00:00","1","en","Very important","Slightly important","Slightly important","Not at all important","Slightly important","Very important","Moderately important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"198","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"199","1980-01-01 00:00:00","1","en","Very important","Not at all important","Very important","Very important","Moderately important","Very important","Very important","Very important","Very important","Very important","No","No","No","Yes","No","No","Yes","No","No","No","Lotus Smart Suite","never","4","Yes","I don't care at all","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"200","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","Yes","No","","frequently","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"201","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"202","1980-01-01 00:00:00","1","en","Extremely important","Very important","Moderately important","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","No","No","Yes","Yes","Yes","No","No","Yes","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"203","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"204","1980-01-01 00:00:00","1","en","Very important","Very important","Slightly important","Slightly important","Moderately important","Very important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","rarely","3","No","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"205","1980-01-01 00:00:00","1","en","Slightly important","Not at all important","Very important","Extremely important","Not at all important","Extremely important","Very important","Not at all important","Very important","Not at all important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","16","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Linux",""
"206","1980-01-01 00:00:00","1","en","Moderately important","Slightly important","Moderately important","Very important","Slightly important","Extremely important","Extremely important","Moderately important","Very important","Slightly important","No","No","No","No","No","No","No","No","No","No","","never","15","Yes","I'm always on 'stable'","Yes","No","No","No","Yes","No","Yes","No","No","Linux",""
"207","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Very important","Extremely important","Moderately important","Very important","Very important","Moderately important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","Yes","No","","occasionally","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","Yes","No","No","Other","MacOS, Linux"
"208","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Very important","Moderately important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","always","6","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"209","1980-01-01 00:00:00","1","fr","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","Extremely important","Extremely important","Slightly important","Moderately important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","5","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"210","1980-01-01 00:00:00","1","zh-Hant-TW","Very important","Extremely important","Extremely important","Very important","Moderately important","Very important","Extremely important","Slightly important","Very important","Extremely important","No","No","Yes","No","Yes","No","Yes","No","No","No","","occasionally","5","No","Nothing else than 'fresh'","Yes","No","No","No","No","Yes","No","No","Yes","Other","Chakra GNU/Linux and Windows 10"
"211","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Extremely important","Slightly important","Very important","Very important","Very important","Extremely important","Slightly important","No","Yes","No","No","No","No","No","No","No","No","","never","12","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","macOS",""
"212","1980-01-01 00:00:00","1","de","Extremely important","Slightly important","Moderately important","Very important","Moderately important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","4","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"213","1980-01-01 00:00:00","1","es","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","frequently","15","Yes","Nothing else than 'fresh'","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Linux",""
"214","1980-01-01 00:00:00","1","en","Very important","Moderately important","Slightly important","Moderately important","Slightly important","Very important","Very important","Moderately important","Extremely important","Moderately important","Yes","Yes","No","No","Yes","No","Yes","No","No","No","","always","8","Yes","No idea, whatever the updater recommends","Yes","No","No","No","Yes","No","No","No","No","macOS",""
"215","","","zh-Hant-TW","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"216","1980-01-01 00:00:00","1","en","Very important","Not at all important","Moderately important","Extremely important","Moderately important","Very important","Extremely important","Very important","Very important","Slightly important","No","No","No","No","No","No","Yes","No","No","No","","rarely","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Other","Linux (desktop) + macOS (laptop)"
"217","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","4","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","Yes","No","Linux",""
"218","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Very important","Very important","Very important","Moderately important","Very important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"219","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Moderately important","Moderately important","Moderately important","Extremely important","Extremely important","Slightly important","Extremely important","Slightly important","No","No","No","No","No","No","Yes","No","No","No","","rarely","14","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"221","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"222","1980-01-01 00:00:00","1","de","Moderately important","Very important","Slightly important","Very important","Moderately important","Extremely important","Very important","","Moderately important","Moderately important","Yes","No","No","No","No","No","No","No","No","No","","rarely","18","Yes","I'm always on 'stable'","No","No","No","Yes","No","No","No","No","Yes","Linux",""
"223","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Moderately important","Very important","Very important","Moderately important","Slightly important","Moderately important","Slightly important","No","No","No","No","No","No","Yes","No","No","No","","frequently","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"224","1980-01-01 00:00:00","1","it","Extremely important","Moderately important","Very important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Yes","No","No","No","No","No","Yes","No","No","No","","frequently","5","Yes","I'm always on 'stable'","No","No","No","No","No","No","No","Yes","No","Microsoft Windows 8, 10",""
"225","1980-01-01 00:00:00","1","en","Very important","Slightly important","Extremely important","Extremely important","Moderately important","Very important","Slightly important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","frequently","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"226","1980-01-01 00:00:00","1","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"227","1980-01-01 00:00:00","1","en","Extremely important","Very important","Moderately important","Very important","Very important","Extremely important","Very important","Slightly important","Very important","Very important","No","No","No","No","No","Yes","Yes","No","No","No","","never","8","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Microsoft Windows 8, 10",""
"228","1980-01-01 00:00:00","1","en","Very important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","14","Yes","Nothing else than 'fresh'","Yes","Yes","Yes","No","No","No","No","Yes","No","Linux",""
"229","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Moderately important","Very important","Extremely important","Extremely important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"230","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"231","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"233","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Slightly important","Very important","Very important","Extremely important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","5","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"234","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"235","1980-01-01 00:00:00","1","en","Very important","Not at all important","Very important","Moderately important","Very important","Very important","Moderately important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","2","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Microsoft Windows 8, 10",""
"236","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Slightly important","Extremely important","Very important","Slightly important","Very important","Not at all important","No","No","No","No","Yes","No","No","No","No","No","","frequently","17","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"237","1980-01-01 00:00:00","1","de","Extremely important","Extremely important","Very important","Extremely important","Very important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Microsoft Windows 8, 10",""
"238","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"239","1980-01-01 00:00:00","1","cs","Moderately important","Moderately important","Very important","Very important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","13","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","Yes","Linux",""
"240","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Very important","Slightly important","Extremely important","Very important","Very important","Very important","Moderately important","No","No","No","No","No","No","No","No","No","No","","rarely","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"241","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Extremely important","Moderately important","Very important","Very important","Not at all important","Very important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","6","Yes","Nothing else than 'fresh'","No","No","No","Yes","No","No","No","No","No","Linux",""
"242","1980-01-01 00:00:00","1","de","Very important","Moderately important","Very important","Very important","Very important","Very important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","5","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"243","1980-01-01 00:00:00","1","fr","Very important","Very important","Moderately important","Moderately important","Very important","Extremely important","Very important","Moderately important","Moderately important","Moderately important","Yes","No","No","No","No","No","Yes","No","No","No","","never","10","Yes","I'm always on 'stable'","Yes","No","No","Yes","No","No","No","Yes","No","Microsoft Windows 8, 10",""
"244","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"245","1980-01-01 00:00:00","1","en","Extremely important","Very important","Moderately important","Very important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","never","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"246","1980-01-01 00:00:00","1","fr","Extremely important","Slightly important","Extremely important","Moderately important","Very important","Very important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"247","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","","occasionally","20","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","Yes","No","No","macOS",""
"248","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Moderately important","Moderately important","Very important","Moderately important","Slightly important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","Yes","No","","frequently","20","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"249","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"250","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"251","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","frequently","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"252","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Very important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","Yes","No","No","No","No","Yes","No","No","No","","never","9","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","macOS",""
"253","1980-01-01 00:00:00","1","en","Very important","Slightly important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Slightly important","No","No","No","No","No","No","No","No","No","No","","never","6","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"254","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Moderately important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","never","1","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","Yes","Microsoft Windows 8, 10",""
"255","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Moderately important","Moderately important","Moderately important","Extremely important","Extremely important","Very important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","frequently","9","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"256","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","12","Yes","Bleeding edge with nightly builds","Yes","No","No","No","No","No","No","No","No","Linux",""
"257","1980-01-01 00:00:00","1","en","Extremely important","Very important","Slightly important","Very important","Slightly important","Extremely important","Extremely important","Very important","Moderately important","Extremely important","No","No","No","No","Yes","No","Yes","No","No","No","Various text editors for speed","frequently","2011","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"258","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","Yes","Yes","Yes","No","No","No","","never","9","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"259","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Very important","Moderately important","Very important","Extremely important","Moderately important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"260","1980-01-01 00:00:00","1","es","Extremely important","Extremely important","Moderately important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","1","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"261","1980-01-01 00:00:00","1","en","Very important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","No","No","No","No","","never","16","Yes","Nothing else than 'fresh'","No","No","Yes","No","No","No","No","No","Yes","Linux",""
"262","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Moderately important","Slightly important","Very important","Extremely important","Slightly important","Extremely important","Slightly important","No","Yes","No","No","No","No","Yes","Yes","No","No","","rarely","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","macOS",""
"263","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","3","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"264","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","13","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"265","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Not at all important","Slightly important","Very important","Extremely important","Moderately important","Not at all important","Extremely important","Not at all important","No","No","No","No","No","No","Yes","No","No","Yes","","frequently","6","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"266","1980-01-01 00:00:00","1","en","Moderately important","Very important","Moderately important","Moderately important","Moderately important","Very important","Moderately important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","10","Yes","Nothing else than 'fresh'","No","No","No","No","No","No","Yes","No","No","Linux",""
"267","1980-01-01 00:00:00","1","en","Very important","Not at all important","Very important","Very important","Moderately important","Very important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","6","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"268","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Very important","Moderately important","Not at all important","Extremely important","Very important","Not at all important","Extremely important","Not at all important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","1","Yes","I'm always on 'stable'","No","Yes","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"269","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Moderately important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","No","No","No","No","","rarely","2","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"270","1980-01-01 00:00:00","1","it","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","frequently","9","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"271","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"272","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","rarely","3","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"273","1980-01-01 00:00:00","1","en","Extremely important","","Extremely important","Extremely important","Not at all important","Extremely important","Very important","Slightly important","Moderately important","Extremely important","Yes","No","Yes","No","No","No","No","No","No","No","","frequently","15","Yes","Nothing else than 'fresh'","No","No","No","No","No","No","No","Yes","No","Linux",""
"274","1980-01-01 00:00:00","1","en","Extremely important","","Very important","","Slightly important","Very important","Very important","Extremely important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","8","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"275","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Very important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","10","N/A","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"276","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Moderately important","Moderately important","Extremely important","Very important","Moderately important","Very important","Very important","No","No","No","No","Yes","No","No","No","No","No","","frequently","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"277","1980-01-01 00:00:00","1","en","Very important","Slightly important","Slightly important","Moderately important","Not at all important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","Yes","No","No","No","Yes","No","Yes","No","No","No","","never","5","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"278","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Extremely important","Moderately important","Extremely important","Extremely important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","17","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"279","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"280","1980-01-01 00:00:00","1","en","Very important","Not at all important","Slightly important","Slightly important","Slightly important","Very important","Very important","Extremely important","Extremely important","Slightly important","No","No","No","No","No","No","No","No","No","No","","never","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","macOS",""
"281","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Very important","Slightly important","Slightly important","Extremely important","Moderately important","Slightly important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"282","1980-01-01 00:00:00","1","es","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Slightly important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","9","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"283","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Moderately important","Moderately important","Slightly important","Very important","Moderately important","Moderately important","Very important","Very important","No","No","No","No","No","Yes","Yes","No","Yes","No","","rarely","15","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"284","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Extremely important","Moderately important","Extremely important","Very important","Very important","Moderately important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","","Yes","I'm always on 'stable'","No","Yes","No","Yes","No","Yes","No","No","No","Microsoft Windows 8, 10",""
